DimDateId,PersianInt,PersianStr,persianYear,persianMonth,persianMonthName,persianDay,PersianDayName,PersianDayOfWeek,persianDayOfMonth,persianWeekOfYear,persianSeasonOfYear,persianSeasonName,PersianMonthDay,PersianFullName,GregorianYearInt,GregorianStr,GregorianStrDash,GregorianMonth,GregorianMonthName,GregorianDayOfMonth,GregorianMonthDay,GregorianYearMonth,GregorianDayOfWeekName,HalfOFYearName,HalfOFYear,IsHoliday,DecadeName,Decade,HalfMoonName
33,13930202,1393/02/02,1393,2,ارديبهشت,33,سه شنبه,4,2,6,1,سه ماهه اول,2,سه شنبه 2 اردیبهشت 1393,201404,2014-04-22 00:00:00.000,2014-04-22,4,April,22,422,201404,Tuesday,نيمسال اول,1,NULL,دهه اول,12,نیمه اول ماه
34,13930203,1393/02/03,1393,2,ارديبهشت,34,چهارشنبه,5,3,6,1,سه ماهه اول,2,چهارشنبه 3 اردیبهشت 1393,201404,2014-04-23 00:00:00.000,2014-04-23,4,April,23,423,201404,Wednesday,نيمسال اول,1,NULL,دهه اول,13,نیمه اول ماه
35,13930204,1393/02/04,1393,2,ارديبهشت,35,پنج شنبه,6,4,6,1,سه ماهه اول,2,پنج شنبه 4 اردیبهشت 1393,201404,2014-04-24 00:00:00.000,2014-04-24,4,April,24,424,201404,Thursday,نيمسال اول,1,NULL,دهه اول,14,نیمه اول ماه
36,13930205,1393/02/05,1393,2,ارديبهشت,36,جمعه,7,5,6,1,سه ماهه اول,2,جمعه 5 اردیبهشت 1393,201404,2014-04-25 00:00:00.000,2014-04-25,4,April,25,425,201404,Friday,نيمسال اول,1,True,دهه اول,15,نیمه اول ماه
37,13930206,1393/02/06,1393,2,ارديبهشت,37,شنبه,1,6,7,1,سه ماهه اول,2,شنبه 6 اردیبهشت 1393,201404,2014-04-26 00:00:00.000,2014-04-26,4,April,26,426,201404,Saturday,نيمسال اول,1,NULL,دهه اول,16,نیمه اول ماه
38,13930207,1393/02/07,1393,2,ارديبهشت,38,یکشنبه,2,7,7,1,سه ماهه اول,2,یکشنبه 7 اردیبهشت 1393,201404,2014-04-27 00:00:00.000,2014-04-27,4,April,27,427,201404,Sunday,نيمسال اول,1,NULL,دهه اول,17,نیمه اول ماه
39,13930208,1393/02/08,1393,2,ارديبهشت,39,دوشنبه,3,8,7,1,سه ماهه اول,2,دوشنبه 8 اردیبهشت 1393,201404,2014-04-28 00:00:00.000,2014-04-28,4,April,28,428,201404,Monday,نيمسال اول,1,NULL,دهه اول,18,نیمه اول ماه
40,13930209,1393/02/09,1393,2,ارديبهشت,40,سه شنبه,4,9,7,1,سه ماهه اول,2,سه شنبه 9 اردیبهشت 1393,201404,2014-04-29 00:00:00.000,2014-04-29,4,April,29,429,201404,Tuesday,نيمسال اول,1,NULL,دهه اول,19,نیمه اول ماه
41,13930210,1393/02/10,1393,2,ارديبهشت,41,چهارشنبه,5,10,7,1,سه ماهه اول,2,چهارشنبه 10 اردیبهشت 1393,201404,2014-04-30 00:00:00.000,2014-04-30,4,April,30,430,201404,Wednesday,نيمسال اول,1,NULL,دهه اول,20,نیمه اول ماه
42,13930211,1393/02/11,1393,2,ارديبهشت,42,پنج شنبه,6,11,7,1,سه ماهه اول,2,پنج شنبه 11 اردیبهشت 1393,201405,2014-05-01 00:00:00.000,2014-05-01,5,May,1,501,201405,Thursday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
43,13930212,1393/02/12,1393,2,ارديبهشت,43,جمعه,7,12,7,1,سه ماهه اول,2,جمعه 12 اردیبهشت 1393,201405,2014-05-02 00:00:00.000,2014-05-02,5,May,2,502,201405,Friday,نيمسال اول,1,True,دهه دوم,NULL,نیمه اول ماه
44,13930213,1393/02/13,1393,2,ارديبهشت,44,شنبه,1,13,8,1,سه ماهه اول,2,شنبه 13 اردیبهشت 1393,201405,2014-05-03 00:00:00.000,2014-05-03,5,May,3,503,201405,Saturday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
45,13930214,1393/02/14,1393,2,ارديبهشت,45,یکشنبه,2,14,8,1,سه ماهه اول,2,یکشنبه 14 اردیبهشت 1393,201405,2014-05-04 00:00:00.000,2014-05-04,5,May,4,504,201405,Sunday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
46,13930215,1393/02/15,1393,2,ارديبهشت,46,دوشنبه,3,15,8,1,سه ماهه اول,2,دوشنبه 15 اردیبهشت 1393,201405,2014-05-05 00:00:00.000,2014-05-05,5,May,5,505,201405,Monday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
47,13930216,1393/02/16,1393,2,ارديبهشت,47,سه شنبه,4,16,8,1,سه ماهه اول,2,سه شنبه 16 اردیبهشت 1393,201405,2014-05-06 00:00:00.000,2014-05-06,5,May,6,506,201405,Tuesday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
48,13930217,1393/02/17,1393,2,ارديبهشت,48,چهارشنبه,5,17,8,1,سه ماهه اول,2,چهارشنبه 17 اردیبهشت 1393,201405,2014-05-07 00:00:00.000,2014-05-07,5,May,7,507,201405,Wednesday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
49,13930218,1393/02/18,1393,2,ارديبهشت,49,پنج شنبه,6,18,8,1,سه ماهه اول,2,پنج شنبه 18 اردیبهشت 1393,201405,2014-05-08 00:00:00.000,2014-05-08,5,May,8,508,201405,Thursday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
50,13930219,1393/02/19,1393,2,ارديبهشت,50,جمعه,7,19,8,1,سه ماهه اول,2,جمعه 19 اردیبهشت 1393,201405,2014-05-09 00:00:00.000,2014-05-09,5,May,9,509,201405,Friday,نيمسال اول,1,True,دهه دوم,NULL,نیمه دوم ماه
51,13930220,1393/02/20,1393,2,ارديبهشت,51,شنبه,1,20,9,1,سه ماهه اول,2,شنبه 20 اردیبهشت 1393,201405,2014-05-10 00:00:00.000,2014-05-10,5,May,10,510,201405,Saturday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
52,13930221,1393/02/21,1393,2,ارديبهشت,52,یکشنبه,2,21,9,1,سه ماهه اول,2,یکشنبه 21 اردیبهشت 1393,201405,2014-05-11 00:00:00.000,2014-05-11,5,May,11,511,201405,Sunday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
53,13930222,1393/02/22,1393,2,ارديبهشت,53,دوشنبه,3,22,9,1,سه ماهه اول,2,دوشنبه 22 اردیبهشت 1393,201405,2014-05-12 00:00:00.000,2014-05-12,5,May,12,512,201405,Monday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
54,13930223,1393/02/23,1393,2,ارديبهشت,54,سه شنبه,4,23,9,1,سه ماهه اول,2,سه شنبه 23 اردیبهشت 1393,201405,2014-05-13 00:00:00.000,2014-05-13,5,May,13,513,201405,Tuesday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
55,13930224,1393/02/24,1393,2,ارديبهشت,55,چهارشنبه,5,24,9,1,سه ماهه اول,2,چهارشنبه 24 اردیبهشت 1393,201405,2014-05-14 00:00:00.000,2014-05-14,5,May,14,514,201405,Wednesday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
56,13930225,1393/02/25,1393,2,ارديبهشت,56,پنج شنبه,6,25,9,1,سه ماهه اول,2,پنج شنبه 25 اردیبهشت 1393,201405,2014-05-15 00:00:00.000,2014-05-15,5,May,15,515,201405,Thursday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
57,13930226,1393/02/26,1393,2,ارديبهشت,57,جمعه,7,26,9,1,سه ماهه اول,2,جمعه 26 اردیبهشت 1393,201405,2014-05-16 00:00:00.000,2014-05-16,5,May,16,516,201405,Friday,نيمسال اول,1,True,دهه سوم,NULL,نیمه دوم ماه
58,13930227,1393/02/27,1393,2,ارديبهشت,58,شنبه,1,27,10,1,سه ماهه اول,2,شنبه 27 اردیبهشت 1393,201405,2014-05-17 00:00:00.000,2014-05-17,5,May,17,517,201405,Saturday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
59,13930228,1393/02/28,1393,2,ارديبهشت,59,یکشنبه,2,28,10,1,سه ماهه اول,2,یکشنبه 28 اردیبهشت 1393,201405,2014-05-18 00:00:00.000,2014-05-18,5,May,18,518,201405,Sunday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
60,13930229,1393/02/29,1393,2,ارديبهشت,60,دوشنبه,3,29,10,1,سه ماهه اول,2,دوشنبه 29 اردیبهشت 1393,201405,2014-05-19 00:00:00.000,2014-05-19,5,May,19,519,201405,Monday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
61,13930230,1393/02/30,1393,2,ارديبهشت,61,سه شنبه,4,30,10,1,سه ماهه اول,2,سه شنبه 30 اردیبهشت 1393,201405,2014-05-20 00:00:00.000,2014-05-20,5,May,20,520,201405,Tuesday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
62,13930231,1393/02/31,1393,2,ارديبهشت,62,چهارشنبه,5,31,10,1,سه ماهه اول,2,چهارشنبه 31 اردیبهشت 1393,201405,2014-05-21 00:00:00.000,2014-05-21,5,May,21,521,201405,Wednesday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
63,13930301,1393/03/01,1393,3,خرداد,63,پنج شنبه,6,1,10,1,سه ماهه اول,3,پنج شنبه 1 خرداد 1393,201405,2014-05-22 00:00:00.000,2014-05-22,5,May,22,522,201405,Thursday,نيمسال اول,1,NULL,دهه اول,21,نیمه اول ماه
64,13930302,1393/03/02,1393,3,خرداد,64,جمعه,7,2,10,1,سه ماهه اول,3,جمعه 2 خرداد 1393,201405,2014-05-23 00:00:00.000,2014-05-23,5,May,23,523,201405,Friday,نيمسال اول,1,True,دهه اول,22,نیمه اول ماه
65,13930303,1393/03/03,1393,3,خرداد,65,شنبه,1,3,11,1,سه ماهه اول,3,شنبه 3 خرداد 1393,201405,2014-05-24 00:00:00.000,2014-05-24,5,May,24,524,201405,Saturday,نيمسال اول,1,NULL,دهه اول,23,نیمه اول ماه
66,13930304,1393/03/04,1393,3,خرداد,66,یکشنبه,2,4,11,1,سه ماهه اول,3,یکشنبه 4 خرداد 1393,201405,2014-05-25 00:00:00.000,2014-05-25,5,May,25,525,201405,Sunday,نيمسال اول,1,NULL,دهه اول,24,نیمه اول ماه
67,13930305,1393/03/05,1393,3,خرداد,67,دوشنبه,3,5,11,1,سه ماهه اول,3,دوشنبه 5 خرداد 1393,201405,2014-05-26 00:00:00.000,2014-05-26,5,May,26,526,201405,Monday,نيمسال اول,1,NULL,دهه اول,25,نیمه اول ماه
68,13930306,1393/03/06,1393,3,خرداد,68,سه شنبه,4,6,11,1,سه ماهه اول,3,سه شنبه 6 خرداد 1393,201405,2014-05-27 00:00:00.000,2014-05-27,5,May,27,527,201405,Tuesday,نيمسال اول,1,NULL,دهه اول,26,نیمه اول ماه
69,13930307,1393/03/07,1393,3,خرداد,69,چهارشنبه,5,7,11,1,سه ماهه اول,3,چهارشنبه 7 خرداد 1393,201405,2014-05-28 00:00:00.000,2014-05-28,5,May,28,528,201405,Wednesday,نيمسال اول,1,NULL,دهه اول,27,نیمه اول ماه
70,13930308,1393/03/08,1393,3,خرداد,70,پنج شنبه,6,8,11,1,سه ماهه اول,3,پنج شنبه 8 خرداد 1393,201405,2014-05-29 00:00:00.000,2014-05-29,5,May,29,529,201405,Thursday,نيمسال اول,1,NULL,دهه اول,28,نیمه اول ماه
71,13930309,1393/03/09,1393,3,خرداد,71,جمعه,7,9,11,1,سه ماهه اول,3,جمعه 9 خرداد 1393,201405,2014-05-30 00:00:00.000,2014-05-30,5,May,30,530,201405,Friday,نيمسال اول,1,True,دهه اول,29,نیمه اول ماه
72,13930310,1393/03/10,1393,3,خرداد,72,شنبه,1,10,12,1,سه ماهه اول,3,شنبه 10 خرداد 1393,201405,2014-05-31 00:00:00.000,2014-05-31,5,May,31,531,201405,Saturday,نيمسال اول,1,NULL,دهه اول,30,نیمه اول ماه
73,13930311,1393/03/11,1393,3,خرداد,73,یکشنبه,2,11,12,1,سه ماهه اول,3,یکشنبه 11 خرداد 1393,201406,2014-06-01 00:00:00.000,2014-06-01,6,June,1,601,201406,Sunday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
74,13930312,1393/03/12,1393,3,خرداد,74,دوشنبه,3,12,12,1,سه ماهه اول,3,دوشنبه 12 خرداد 1393,201406,2014-06-02 00:00:00.000,2014-06-02,6,June,2,602,201406,Monday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
75,13930313,1393/03/13,1393,3,خرداد,75,سه شنبه,4,13,12,1,سه ماهه اول,3,سه شنبه 13 خرداد 1393,201406,2014-06-03 00:00:00.000,2014-06-03,6,June,3,603,201406,Tuesday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
76,13930314,1393/03/14,1393,3,خرداد,76,چهارشنبه,5,14,12,1,سه ماهه اول,3,چهارشنبه 14 خرداد 1393,201406,2014-06-04 00:00:00.000,2014-06-04,6,June,4,604,201406,Wednesday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
77,13930315,1393/03/15,1393,3,خرداد,77,پنج شنبه,6,15,12,1,سه ماهه اول,3,پنج شنبه 15 خرداد 1393,201406,2014-06-05 00:00:00.000,2014-06-05,6,June,5,605,201406,Thursday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه اول ماه
78,13930316,1393/03/16,1393,3,خرداد,78,جمعه,7,16,12,1,سه ماهه اول,3,جمعه 16 خرداد 1393,201406,2014-06-06 00:00:00.000,2014-06-06,6,June,6,606,201406,Friday,نيمسال اول,1,True,دهه دوم,NULL,نیمه دوم ماه
79,13930317,1393/03/17,1393,3,خرداد,79,شنبه,1,17,13,1,سه ماهه اول,3,شنبه 17 خرداد 1393,201406,2014-06-07 00:00:00.000,2014-06-07,6,June,7,607,201406,Saturday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
80,13930318,1393/03/18,1393,3,خرداد,80,یکشنبه,2,18,13,1,سه ماهه اول,3,یکشنبه 18 خرداد 1393,201406,2014-06-08 00:00:00.000,2014-06-08,6,June,8,608,201406,Sunday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
81,13930319,1393/03/19,1393,3,خرداد,81,دوشنبه,3,19,13,1,سه ماهه اول,3,دوشنبه 19 خرداد 1393,201406,2014-06-09 00:00:00.000,2014-06-09,6,June,9,609,201406,Monday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
82,13930320,1393/03/20,1393,3,خرداد,82,سه شنبه,4,20,13,1,سه ماهه اول,3,سه شنبه 20 خرداد 1393,201406,2014-06-10 00:00:00.000,2014-06-10,6,June,10,610,201406,Tuesday,نيمسال اول,1,NULL,دهه دوم,NULL,نیمه دوم ماه
83,13930321,1393/03/21,1393,3,خرداد,83,چهارشنبه,5,21,13,1,سه ماهه اول,3,چهارشنبه 21 خرداد 1393,201406,2014-06-11 00:00:00.000,2014-06-11,6,June,11,611,201406,Wednesday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
84,13930322,1393/03/22,1393,3,خرداد,84,پنج شنبه,6,22,13,1,سه ماهه اول,3,پنج شنبه 22 خرداد 1393,201406,2014-06-12 00:00:00.000,2014-06-12,6,June,12,612,201406,Thursday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
85,13930323,1393/03/23,1393,3,خرداد,85,جمعه,7,23,13,1,سه ماهه اول,3,جمعه 23 خرداد 1393,201406,2014-06-13 00:00:00.000,2014-06-13,6,June,13,613,201406,Friday,نيمسال اول,1,True,دهه سوم,NULL,نیمه دوم ماه
86,13930324,1393/03/24,1393,3,خرداد,86,شنبه,1,24,14,1,سه ماهه اول,3,شنبه 24 خرداد 1393,201406,2014-06-14 00:00:00.000,2014-06-14,6,June,14,614,201406,Saturday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
87,13930325,1393/03/25,1393,3,خرداد,87,یکشنبه,2,25,14,1,سه ماهه اول,3,یکشنبه 25 خرداد 1393,201406,2014-06-15 00:00:00.000,2014-06-15,6,June,15,615,201406,Sunday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
88,13930326,1393/03/26,1393,3,خرداد,88,دوشنبه,3,26,14,1,سه ماهه اول,3,دوشنبه 26 خرداد 1393,201406,2014-06-16 00:00:00.000,2014-06-16,6,June,16,616,201406,Monday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
89,13930327,1393/03/27,1393,3,خرداد,89,سه شنبه,4,27,14,1,سه ماهه اول,3,سه شنبه 27 خرداد 1393,201406,2014-06-17 00:00:00.000,2014-06-17,6,June,17,617,201406,Tuesday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
90,13930328,1393/03/28,1393,3,خرداد,90,چهارشنبه,5,28,14,1,سه ماهه اول,3,چهارشنبه 28 خرداد 1393,201406,2014-06-18 00:00:00.000,2014-06-18,6,June,18,618,201406,Wednesday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
91,13930329,1393/03/29,1393,3,خرداد,91,پنج شنبه,6,29,14,1,سه ماهه اول,3,پنج شنبه 29 خرداد 1393,201406,2014-06-19 00:00:00.000,2014-06-19,6,June,19,619,201406,Thursday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
92,13930330,1393/03/30,1393,3,خرداد,92,جمعه,7,30,14,1,سه ماهه اول,3,جمعه 30 خرداد 1393,201406,2014-06-20 00:00:00.000,2014-06-20,6,June,20,620,201406,Friday,نيمسال اول,1,True,دهه سوم,NULL,نیمه دوم ماه
93,13930331,1393/03/31,1393,3,خرداد,93,شنبه,1,31,15,1,سه ماهه اول,3,شنبه 31 خرداد 1393,201406,2014-06-21 00:00:00.000,2014-06-21,6,June,21,621,201406,Saturday,نيمسال اول,1,NULL,دهه سوم,NULL,نیمه دوم ماه
