Case_ID,Activity,Resource,ResourceGroup,Start_Timestamp,Complete_Timestamp,Requester,Part,Project,IsForce,RequestQuantity
OR-E000006,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:39,3/31/2019 9:51,Department-20200138,Part-11584,Project-100400016,0,16
OR-E000006,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 9:51,4/1/2019 14:40,Department-20200138,Part-11584,Project-100400016,0,16
OR-E000006,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-11584,Project-100400016,0,16
OR-E000006,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 13:55,Department-20200138,Part-11584,Project-100400016,0,16
OR-E000006,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 13:55,4/6/2019 15:24,Department-20200138,Part-11584,Project-100400016,0,16
OR-E000006,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/6/2019 15:24,4/6/2019 16:49,Department-20200138,Part-11584,Project-100400016,0,16
OR-E000006,توزیع سفارش داخلی,Employee2484,داخلی,4/6/2019 16:49,4/7/2019 18:57,Department-20200138,Part-11584,Project-100400016,0,16
OR-E000006,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 18:57,4/8/2019 14:57,Department-20200138,Part-11584,Project-100400016,0,16
OR-E000006,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 14:57,4/9/2019 10:44,Department-20200138,Part-11584,Project-100400016,0,16
OR-E000007,ارسال درخواست,Employee2556,داخلی,3/30/2019 16:57,3/30/2019 17:39,Department-20200138,Part-2000004148,Project-100400016,0,4
OR-E000007,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:39,3/31/2019 10:01,Department-20200138,Part-2000004148,Project-100400016,0,4
OR-E000007,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 10:01,4/1/2019 14:40,Department-20200138,Part-2000004148,Project-100400016,0,4
OR-E000007,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-2000004148,Project-100400016,0,4
OR-E000007,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 14:07,Department-20200138,Part-2000004148,Project-100400016,0,4
OR-E000007,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 14:07,4/6/2019 15:31,Department-20200138,Part-2000004148,Project-100400016,0,4
OR-E000007,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/6/2019 15:31,4/6/2019 16:48,Department-20200138,Part-2000004148,Project-100400016,0,4
OR-E000007,توزیع سفارش داخلی,Employee2484,داخلی,4/6/2019 16:48,4/7/2019 18:57,Department-20200138,Part-2000004148,Project-100400016,0,4
OR-E000007,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 18:57,4/8/2019 14:57,Department-20200138,Part-2000004148,Project-100400016,0,4
OR-E000007,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 14:57,4/9/2019 10:43,Department-20200138,Part-2000004148,Project-100400016,0,4
OR-E000008,ارسال درخواست,Employee2556,داخلی,3/30/2019 16:59,3/30/2019 17:39,Department-20200138,Part-2000007516,Project-100400016,0,2
OR-E000008,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:39,3/31/2019 11:33,Department-20200138,Part-2000007516,Project-100400016,0,2
OR-E000008,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 11:33,4/1/2019 14:40,Department-20200138,Part-2000007516,Project-100400016,0,2
OR-E000008,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-2000007516,Project-100400016,0,2
OR-E000008,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 14:12,Department-20200138,Part-2000007516,Project-100400016,0,2
OR-E000008,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 14:12,4/6/2019 15:35,Department-20200138,Part-2000007516,Project-100400016,0,2
OR-E000008,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/6/2019 15:35,4/6/2019 16:48,Department-20200138,Part-2000007516,Project-100400016,0,2
OR-E000008,توزیع سفارش داخلی,Employee2484,داخلی,4/6/2019 16:48,4/7/2019 18:19,Department-20200138,Part-2000007516,Project-100400016,0,2
OR-E000008,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 18:19,4/8/2019 14:57,Department-20200138,Part-2000007516,Project-100400016,0,2
OR-E000008,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 14:57,4/9/2019 10:43,Department-20200138,Part-2000007516,Project-100400016,0,2
OR-E000009,ارسال درخواست,Employee2556,داخلی,3/30/2019 17:04,3/30/2019 17:39,Department-20200138,Part-2000010248,Project-100400016,0,2
OR-E000009,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:39,3/31/2019 10:36,Department-20200138,Part-2000010248,Project-100400016,0,2
OR-E000009,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 10:36,4/1/2019 14:40,Department-20200138,Part-2000010248,Project-100400016,0,2
OR-E000009,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-2000010248,Project-100400016,0,2
OR-E000009,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 14:13,Department-20200138,Part-2000010248,Project-100400016,0,2
OR-E000009,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 14:13,4/6/2019 15:36,Department-20200138,Part-2000010248,Project-100400016,0,2
OR-E000009,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/6/2019 15:36,4/6/2019 16:48,Department-20200138,Part-2000010248,Project-100400016,0,2
OR-E000009,توزیع سفارش داخلی,Employee2484,داخلی,4/6/2019 16:48,4/7/2019 18:19,Department-20200138,Part-2000010248,Project-100400016,0,2
OR-E000009,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 18:19,4/8/2019 14:57,Department-20200138,Part-2000010248,Project-100400016,0,2
OR-E000009,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 14:57,4/9/2019 10:43,Department-20200138,Part-2000010248,Project-100400016,0,2
OR-E000010,ارسال درخواست,Employee2556,داخلی,3/30/2019 17:07,4/1/2019 12:52,Department-20200138,Part-2000004484,Project-100400016,0,102
OR-E000010,بررسی سفارش توسط انبار,Employee5148,داخلی,4/1/2019 12:52,4/3/2019 8:48,Department-20200138,Part-2000004484,Project-100400016,0,102
OR-E000010,بررسی مدیر انبار,Employee816,داخلی,4/3/2019 8:48,4/6/2019 13:05,Department-20200138,Part-2000004484,Project-100400016,0,102
OR-E000010,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/6/2019 13:05,4/6/2019 17:36,Department-20200138,Part-2000004484,Project-100400016,0,102
OR-E000010,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 17:36,4/6/2019 18:13,Department-20200138,Part-2000004484,Project-100400016,0,102
OR-E000010,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 18:13,4/7/2019 12:00,Department-20200138,Part-2000004484,Project-100400016,0,102
OR-E000010,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/7/2019 12:00,4/7/2019 12:16,Department-20200138,Part-2000004484,Project-100400016,0,102
OR-E000010,توزیع سفارش داخلی,Employee2484,داخلی,4/7/2019 12:16,4/7/2019 18:57,Department-20200138,Part-2000004484,Project-100400016,0,102
OR-E000010,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 18:57,4/8/2019 14:57,Department-20200138,Part-2000004484,Project-100400016,0,102
OR-E000010,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 14:57,4/9/2019 10:44,Department-20200138,Part-2000004484,Project-100400016,0,102
OR-E000011,ارسال درخواست,Employee2556,داخلی,3/30/2019 17:16,3/30/2019 17:39,Department-20200138,Part-2000007352,Project-100400016,0,2
OR-E000011,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:39,3/31/2019 10:15,Department-20200138,Part-2000007352,Project-100400016,0,2
OR-E000011,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 10:15,4/1/2019 14:40,Department-20200138,Part-2000007352,Project-100400016,0,2
OR-E000011,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-2000007352,Project-100400016,0,2
OR-E000011,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 14:12,Department-20200138,Part-2000007352,Project-100400016,0,2
OR-E000011,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 14:12,4/6/2019 15:34,Department-20200138,Part-2000007352,Project-100400016,0,2
OR-E000011,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/6/2019 15:34,4/6/2019 16:49,Department-20200138,Part-2000007352,Project-100400016,0,2
OR-E000011,توزیع سفارش داخلی,Employee2484,داخلی,4/6/2019 16:49,4/7/2019 18:19,Department-20200138,Part-2000007352,Project-100400016,0,2
OR-E000011,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 18:19,4/8/2019 14:57,Department-20200138,Part-2000007352,Project-100400016,0,2
OR-E000011,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 14:57,4/9/2019 10:43,Department-20200138,Part-2000007352,Project-100400016,0,2
OR-E000012,ارسال درخواست,Employee2556,داخلی,3/30/2019 17:21,3/30/2019 17:39,Department-20200138,Part-2010014002,Project-100400016,0,2
OR-E000012,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:39,3/31/2019 10:22,Department-20200138,Part-2010014002,Project-100400016,0,2
OR-E000012,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 10:22,4/1/2019 14:40,Department-20200138,Part-2010014002,Project-100400016,0,2
OR-E000012,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-2010014002,Project-100400016,0,2
OR-E000012,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 14:14,Department-20200138,Part-2010014002,Project-100400016,0,2
OR-E000012,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 14:14,4/6/2019 15:37,Department-20200138,Part-2010014002,Project-100400016,0,2
OR-E000012,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/6/2019 15:37,4/6/2019 16:48,Department-20200138,Part-2010014002,Project-100400016,0,2
OR-E000012,توزیع سفارش داخلی,Employee2484,داخلی,4/6/2019 16:48,4/7/2019 18:57,Department-20200138,Part-2010014002,Project-100400016,0,2
OR-E000012,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 18:57,4/8/2019 14:57,Department-20200138,Part-2010014002,Project-100400016,0,2
OR-E000012,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 14:57,4/9/2019 10:43,Department-20200138,Part-2010014002,Project-100400016,0,2
OR-E000013,ارسال درخواست,Employee2556,داخلی,3/30/2019 17:24,3/30/2019 17:38,Department-20200138,Part-2010004128,Project-100400016,0,14
OR-E000013,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:38,3/31/2019 10:27,Department-20200138,Part-2010004128,Project-100400016,0,14
OR-E000013,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 10:27,4/1/2019 14:40,Department-20200138,Part-2010004128,Project-100400016,0,14
OR-E000013,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-2010004128,Project-100400016,0,14
OR-E000013,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/8/2019 14:36,Department-20200138,Part-2010004128,Project-100400016,0,14
OR-E000013,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5148,داخلی,4/6/2019 14:00,4/7/2019 8:41,Department-20200138,Part-2010004128,Project-100400016,0,14
OR-E000013,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/8/2019 14:36,4/8/2019 14:37,Department-20200138,Part-2010004128,Project-100400016,0,14
OR-E000013,توزیع سفارش داخلی,Employee2484,داخلی,4/8/2019 14:37,4/8/2019 15:04,Department-20200138,Part-2010004128,Project-100400016,0,14
OR-E000013,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/8/2019 15:04,4/8/2019 16:17,Department-20200138,Part-2010004128,Project-100400016,0,14
OR-E000013,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 16:17,4/9/2019 10:42,Department-20200138,Part-2010004128,Project-100400016,0,14
OR-E000014,ارسال درخواست,Employee2556,داخلی,3/30/2019 17:27,3/30/2019 17:38,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000014,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:38,3/31/2019 10:18,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000014,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 10:18,4/1/2019 14:40,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000014,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000014,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 14:13,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000014,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 14:13,4/6/2019 15:36,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000014,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/6/2019 15:36,4/6/2019 16:48,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000014,توزیع سفارش داخلی,Employee2484,داخلی,4/6/2019 16:48,4/7/2019 18:57,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000014,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 18:57,4/8/2019 14:57,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000014,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 14:57,4/9/2019 10:43,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000015,ارسال درخواست,Employee2556,داخلی,3/30/2019 17:29,3/30/2019 17:38,Department-20200138,Part-2000005708,Project-100400016,0,2
OR-E000015,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:38,3/31/2019 10:12,Department-20200138,Part-2000005708,Project-100400016,0,2
OR-E000015,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 10:12,4/1/2019 14:40,Department-20200138,Part-2000005708,Project-100400016,0,2
OR-E000015,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-2000005708,Project-100400016,0,2
OR-E000015,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 14:11,Department-20200138,Part-2000005708,Project-100400016,0,2
OR-E000015,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 14:11,4/6/2019 15:33,Department-20200138,Part-2000005708,Project-100400016,0,2
OR-E000015,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/6/2019 15:33,4/6/2019 16:48,Department-20200138,Part-2000005708,Project-100400016,0,2
OR-E000015,توزیع سفارش داخلی,Employee2484,داخلی,4/6/2019 16:48,4/7/2019 18:19,Department-20200138,Part-2000005708,Project-100400016,0,2
OR-E000015,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 18:19,4/8/2019 14:57,Department-20200138,Part-2000005708,Project-100400016,0,2
OR-E000015,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 14:57,4/9/2019 10:42,Department-20200138,Part-2000005708,Project-100400016,0,2
OR-E000016,ارسال درخواست,Employee2556,داخلی,3/30/2019 17:31,3/30/2019 17:38,Department-20200138,Part-2000006610,Project-100400016,0,4
OR-E000016,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:38,3/31/2019 10:10,Department-20200138,Part-2000006610,Project-100400016,0,4
OR-E000016,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 10:10,4/1/2019 14:40,Department-20200138,Part-2000006610,Project-100400016,0,4
OR-E000016,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-2000006610,Project-100400016,0,4
OR-E000016,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 14:08,Department-20200138,Part-2000006610,Project-100400016,0,4
OR-E000016,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 14:08,4/6/2019 15:33,Department-20200138,Part-2000006610,Project-100400016,0,4
OR-E000016,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/6/2019 15:33,4/6/2019 16:48,Department-20200138,Part-2000006610,Project-100400016,0,4
OR-E000016,توزیع سفارش داخلی,Employee2484,داخلی,4/6/2019 16:48,4/7/2019 18:19,Department-20200138,Part-2000006610,Project-100400016,0,4
OR-E000016,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 18:19,4/8/2019 14:57,Department-20200138,Part-2000006610,Project-100400016,0,4
OR-E000016,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 14:57,4/9/2019 10:42,Department-20200138,Part-2000006610,Project-100400016,0,4
OR-E000017,ارسال درخواست,Employee2556,داخلی,3/30/2019 17:33,3/30/2019 17:38,Department-20200138,Part-2000002664,Project-100400016,0,2
OR-E000017,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:38,3/31/2019 10:05,Department-20200138,Part-2000002664,Project-100400016,0,2
OR-E000017,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 10:05,4/1/2019 14:40,Department-20200138,Part-2000002664,Project-100400016,0,2
OR-E000017,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-2000002664,Project-100400016,0,2
OR-E000017,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 14:07,Department-20200138,Part-2000002664,Project-100400016,0,2
OR-E000017,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee5760,داخلی,4/6/2019 14:07,4/6/2019 15:32,Department-20200138,Part-2000002664,Project-100400016,0,2
OR-E000017,تأیید مدیر ارشد بازرگانی  ,Employee2528,داخلی,4/6/2019 15:32,4/6/2019 16:48,Department-20200138,Part-2000002664,Project-100400016,0,2
OR-E000017,توزیع سفارش داخلی,Employee2484,داخلی,4/6/2019 16:48,4/7/2019 18:19,Department-20200138,Part-2000002664,Project-100400016,0,2
OR-E000017,کنترل ثبت سفارش داخلی,Employee5692,داخلی,4/7/2019 18:19,4/8/2019 14:57,Department-20200138,Part-2000002664,Project-100400016,0,2
OR-E000017,اقدام کارشناس بازرگانی داخلی برای خرید سفارش   ,Employee5508,داخلی,4/8/2019 14:57,4/9/2019 10:42,Department-20200138,Part-2000002664,Project-100400016,0,2
OR-E000018,ارسال درخواست,Employee2556,داخلی,3/30/2019 17:34,3/30/2019 17:38,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000018,بررسی سفارش توسط انبار,Employee5148,داخلی,3/30/2019 17:38,3/31/2019 9:57,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000018,بررسی مدیر انبار,Employee816,داخلی,3/31/2019 9:57,4/1/2019 14:40,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000018,تأیید معاون درخواست کننده  ,Employee1580,داخلی,4/1/2019 14:40,4/6/2019 8:21,Department-20200138,Part-2000009158,Project-100400016,0,2
OR-E000018,بررسی بودجه تعدادی توسط سرپرست بازرگانی  ,Employee2528,داخلی,4/6/2019 8:21,4/6/2019 13:56,Department-20200138,Part-2000009158,Project-100400016,0,2
